Barangay,House Type,Lot Area (sqm),Floor Area (sqm),Number of Floors,Bedroom,Bathroom,Garage,Year Built,Price (PHP),Price Growth Rate,Market Price,Market Price Growth Rate
San Luis,Duplex,289,80,1,2,4,0,2017,5124795.18,5.12,15374385.54,200.00%
Santa Cruz,Single-Family Home,155,274,3,5,4,3,2022,7078575.49,3.81,21235726.47,200.00%
Bagong Nayon,Single-Family Home,192,106,2,3,4,1,2016,6184954.3,5.75,18554862.9,200.00%
San Juan,Townhouse,287,131,2,6,1,1,2016,9210854.61,4.18,27632563.83,200.00%
Muntindilaw,Duplex,336,185,2,2,1,3,2021,9344455.05,2.79,28033365.15,200.00%
Mambugan,Bungalow,344,114,1,3,2,3,2020,4989649.58,3.26,14968948.74,200.00%
San Jose (Poblacion),Bungalow,267,263,1,3,4,1,2014,3818091.66,5.53,11454274.98,200.00%
San Jose (Poblacion),Townhouse,358,226,1,2,4,2,2019,6246959.36,3.01,18740878.08,200.00%
Cupang,Bungalow,355,145,1,3,2,0,2015,7515373.54,4.8,22546120.62,200.00%
San Luis,Bungalow,357,142,1,3,1,0,2020,7602825.18,2.49,22808475.54,200.00%
Mambugan,Bungalow,160,124,1,5,4,3,2018,6923391.27,4.71,20770173.81,200.00%
Beverly Hills,Townhouse,215,173,3,4,4,3,2016,2860903.65,4.08,8582710.95,200.00%
Santa Cruz,Bungalow,364,256,1,6,1,1,2019,3912738.36,2.12,11738215.08,200.00%
Beverly Hills,Townhouse,393,145,2,2,3,0,2015,2358619.45,5.68,7075858.35,200.00%
Mayamot,Single-Family Home,283,183,3,6,3,3,2019,6914354.34,2.06,20743063.02,200.00%
Santa Cruz,Bungalow,246,250,1,5,1,2,2016,8605421.05,5,25816263.15,200.00%
Cupang,Single-Family Home,174,203,2,4,2,1,2022,4415140,5.43,13245420,200.00%
Muntindilaw,Townhouse,173,277,3,6,1,0,2018,4811900.7,5.62,14435702.1,200.00%
San Isidro (Poblacion),Bungalow,194,173,1,3,2,2,2013,5298073.59,4.3,15894220.77,200.00%
San Isidro (Poblacion),Single-Family Home,170,201,1,6,3,0,2017,6213905.89,2.08,18641717.67,200.00%
Mayamot,Single-Family Home,386,165,1,2,3,1,2018,3100014.51,3.79,9300043.53,200.00%
Bagong Nayon,Single-Family Home,304,245,1,2,3,0,2020,4083140.86,4.74,12249422.58,200.00%
Mayamot,Duplex,282,265,3,4,3,2,2018,2753631.27,3.84,8260893.81,200.00%
Cupang,Townhouse,309,80,2,3,2,1,2022,5346276.41,5.52,16038829.23,200.00%
San Roque (Poblacion),Bungalow,349,239,1,2,3,1,2017,7628576.27,3.25,22885728.81,200.00%
San Luis,Duplex,304,102,1,4,2,1,2018,2614504.9,3.78,7843514.7,200.00%
Cupang,Single-Family Home,160,92,3,2,3,0,2017,8180882.75,2.94,24542648.25,200.00%
Dela Paz (Poblacion),Duplex,271,150,2,3,4,1,2021,2762549.41,3.37,8287648.23,200.00%
San Luis,Townhouse,316,267,2,3,2,2,2022,3171089.87,5.62,9513269.61,200.00%
Calawis,Duplex,371,137,2,5,3,3,2020,8959868.03,5.49,26879604.09,200.00%
Dela Paz (Poblacion),Bungalow,210,134,1,3,2,1,2015,6004168.61,4.15,18012505.83,200.00%
Cupang,Single-Family Home,203,213,3,6,1,3,2019,5620288.2,5.66,16860864.6,200.00%
San Juan,Townhouse,394,89,2,4,1,1,2013,4931790.21,5.03,14795370.63,200.00%
Dalig,Bungalow,354,126,1,5,4,2,2016,6930774.84,5.34,20792324.52,200.00%
San Roque (Poblacion),Townhouse,190,257,1,2,4,0,2016,2656709.46,2,7970128.38,200.00%
Muntindilaw,Single-Family Home,154,126,1,6,2,2,2020,4333378.33,4.12,13000134.99,200.00%
Beverly Hills,Single-Family Home,215,263,1,2,1,1,2019,4779665.22,5.94,14338995.66,200.00%
Calawis,Bungalow,309,165,1,5,4,3,2015,7775621.57,2.09,23326864.71,200.00%
Mambugan,Duplex,286,241,3,3,1,2,2015,6429782.15,2.4,19289346.45,200.00%
Mambugan,Townhouse,173,143,1,2,1,1,2021,3907480.62,2.56,11722441.86,200.00%
San Luis,Duplex,270,89,1,4,4,3,2022,7584255.75,3.43,22752767.25,200.00%
San Isidro (Poblacion),Duplex,381,279,2,3,3,3,2016,8746820.92,5.47,26240462.76,200.00%
Mayamot,Bungalow,334,226,1,6,2,0,2013,9907121.66,4.32,29721364.98,200.00%
Dela Paz (Poblacion),Townhouse,342,196,1,5,1,0,2018,3731804.92,4.75,11195414.76,200.00%
Cupang,Duplex,215,108,3,3,4,3,2015,2722606.84,5.53,8167820.52,200.00%
San Roque (Poblacion),Single-Family Home,327,114,3,4,3,3,2013,5524071.83,4.13,16572215.49,200.00%
San Juan,Townhouse,235,185,3,3,2,2,2019,3923824.64,2.11,11771473.92,200.00%
San Isidro (Poblacion),Single-Family Home,390,252,3,2,1,3,2022,4810674.72,2.66,14432024.16,200.00%
San Luis,Townhouse,243,90,1,2,4,3,2015,9070481.98,4.47,27211445.94,200.00%
Muntindilaw,Bungalow,347,245,1,4,4,1,2020,2751862.66,3.66,8255587.98,200.00%
Dalig,Bungalow,282,188,1,4,3,3,2018,3518097.47,3.86,10554292.41,200.00%
San Luis,Bungalow,381,176,1,5,3,0,2015,9030888.68,5.51,27092666.04,200.00%
Inarawan,Townhouse,303,256,2,6,4,3,2014,2012970.44,4.13,6038911.32,200.00%
San Jose (Poblacion),Single-Family Home,233,193,2,2,2,3,2020,8991758.63,5.12,26975275.89,200.00%
Dalig,Duplex,333,183,2,5,4,3,2020,3940266.18,2.89,11820798.54,200.00%
Bagong Nayon,Duplex,396,121,1,4,1,2,2017,7430420.77,5.28,22291262.31,200.00%
Calawis,Townhouse,263,181,2,4,3,2,2020,2761864.06,5.85,8285592.18,200.00%
San Jose (Poblacion),Townhouse,355,198,2,5,2,3,2013,8963261.8,3.64,26889785.4,200.00%
Calawis,Single-Family Home,238,95,3,5,3,2,2013,8645446.68,5.36,25936340.04,200.00%
Beverly Hills,Single-Family Home,374,154,1,6,4,2,2014,7431919.58,4.23,22295758.74,200.00%
Beverly Hills,Single-Family Home,346,259,3,4,1,3,2014,6290803.99,3.22,18872411.97,200.00%
Muntindilaw,Single-Family Home,171,210,2,3,3,0,2018,5723183.66,2.22,17169550.98,200.00%
San Roque (Poblacion),Single-Family Home,191,214,3,4,3,1,2021,3044409.98,2.26,9133229.94,200.00%
San Jose (Poblacion),Bungalow,276,177,1,2,2,2,2013,9441115.63,3.13,28323346.89,200.00%
San Juan,Bungalow,291,213,1,2,3,1,2013,5484881.48,2.57,16454644.44,200.00%
Bagong Nayon,Duplex,228,121,1,2,1,2,2019,5491233.2,4.05,16473699.6,200.00%
San Luis,Townhouse,222,104,3,6,1,1,2018,9328932.28,5.7,27986796.84,200.00%
Dela Paz (Poblacion),Single-Family Home,271,121,1,6,3,1,2013,2471453.53,5.67,7414360.59,200.00%
San Juan,Bungalow,223,113,1,3,3,0,2014,7946903.76,2.97,23840711.28,200.00%
Cupang,Duplex,180,241,1,5,2,2,2015,8527708.56,2.32,25583125.68,200.00%
Cupang,Single-Family Home,370,240,1,5,2,3,2018,4189919.46,2.64,12569758.38,200.00%
Inarawan,Duplex,150,272,1,2,3,0,2016,2579470.05,3.86,7738410.15,200.00%
San Isidro (Poblacion),Duplex,371,128,3,6,2,1,2016,9977431.59,2.18,29932294.77,200.00%
San Jose (Poblacion),Bungalow,296,125,1,4,1,0,2017,8266845.38,4.79,24800536.14,200.00%
San Juan,Single-Family Home,368,172,3,6,3,3,2021,5495352.11,5.27,16486056.33,200.00%
Santa Cruz,Townhouse,219,258,2,4,2,2,2015,4578421.97,4.84,13735265.91,200.00%
San Juan,Bungalow,170,144,1,4,4,1,2016,7702855.94,5.33,23108567.82,200.00%
Santa Cruz,Duplex,389,179,3,6,2,0,2018,3881594.09,3.48,11644782.27,200.00%
San Jose (Poblacion),Duplex,245,188,2,4,3,0,2014,3729641.74,4.77,11188925.22,200.00%
Dela Paz (Poblacion),Single-Family Home,166,91,1,5,4,1,2022,9037284.89,2.13,27111854.67,200.00%
Calawis,Single-Family Home,251,275,2,5,3,3,2022,4303361.19,4.15,12910083.57,200.00%
San Juan,Duplex,202,133,2,6,2,2,2021,7947646.63,4.76,23842939.89,200.00%
San Juan,Townhouse,176,116,2,5,2,2,2019,4964412.27,2.46,14893236.81,200.00%
Mayamot,Duplex,288,223,2,5,3,0,2019,9006245.27,2.53,27018735.81,200.00%
Dalig,Townhouse,297,124,1,3,3,2,2021,2653102.92,4.15,7959308.76,200.00%
Cupang,Townhouse,252,103,3,2,1,2,2020,2925645.45,5.36,8776936.35,200.00%
Mayamot,Single-Family Home,155,277,3,4,4,1,2014,3231989.67,5.5,9695969.01,200.00%
Calawis,Bungalow,155,160,1,3,1,0,2021,8735061.56,5.12,26205184.68,200.00%
Beverly Hills,Bungalow,171,116,1,3,2,2,2020,8427488.82,2.69,25282466.46,200.00%
Bagong Nayon,Duplex,382,235,2,3,2,1,2013,5095945.41,4.64,15287836.23,200.00%
Bagong Nayon,Single-Family Home,235,268,3,5,2,0,2019,6368686.15,2.06,19106058.45,200.00%
Inarawan,Single-Family Home,264,172,3,2,1,2,2017,8156716.24,5.64,24470148.72,200.00%
Mayamot,Bungalow,281,172,1,5,2,0,2015,5097115.84,3.05,15291347.52,200.00%
San Luis,Single-Family Home,277,104,3,2,2,3,2014,4060425.84,5.08,12181277.52,200.00%
Beverly Hills,Bungalow,282,153,1,4,1,2,2016,3440640.32,3.18,10321920.96,200.00%
Calawis,Single-Family Home,159,209,2,5,3,2,2016,6415125.2,3.77,19245375.6,200.00%
San Jose (Poblacion),Duplex,332,165,2,2,2,2,2014,2076436.55,2.84,6229309.65,200.00%
Santa Cruz,Duplex,357,193,2,6,3,0,2018,2169326.87,5.48,6507980.61,200.00%
San Roque (Poblacion),Duplex,319,143,1,6,2,2,2020,4806182.71,5.52,14418548.13,200.00%
Mayamot,Townhouse,300,172,1,6,2,0,2018,8155089.38,2.32,24465268.14,200.00%
Cupang,Townhouse,238,274,1,3,1,2,2017,2090456.23,5.71,6271368.69,200.00%
Calawis,Townhouse,201,132,3,6,1,1,2017,7937288.19,5.2,23811864.57,200.00%
Calawis,Bungalow,381,264,1,6,2,0,2017,8817081.56,2.25,26451244.68,200.00%
San Juan,Single-Family Home,155,121,2,3,4,3,2022,6140186.91,5.13,18420560.73,200.00%
Mayamot,Bungalow,345,269,1,2,3,0,2016,3348674.28,2.29,10046022.84,200.00%
Calawis,Single-Family Home,389,119,3,5,4,2,2020,4394076.27,5.84,13182228.81,200.00%
Calawis,Bungalow,306,197,1,4,3,3,2014,5605696.33,2.56,16817088.99,200.00%
San Jose (Poblacion),Single-Family Home,389,173,2,5,2,0,2016,9995845.29,2.16,29987535.87,200.00%
Dela Paz (Poblacion),Duplex,168,169,3,2,3,1,2021,3305601.07,4.64,9916803.21,200.00%
Santa Cruz,Single-Family Home,366,104,3,2,2,2,2022,6576336.22,5.83,19729008.66,200.00%
Muntindilaw,Single-Family Home,193,158,2,2,4,0,2013,6407370.82,2.74,19222112.46,200.00%
San Roque (Poblacion),Bungalow,188,176,1,5,3,2,2021,4535815.11,3.6,13607445.33,200.00%
Mambugan,Townhouse,378,181,1,4,1,0,2015,7220692,4.88,21662076,200.00%
Bagong Nayon,Duplex,385,212,2,2,3,1,2018,6784463.05,2.3,20353389.15,200.00%
San Roque (Poblacion),Bungalow,215,118,1,5,4,1,2017,3513721.28,2.61,10541163.84,200.00%
Beverly Hills,Townhouse,191,225,3,4,3,0,2017,9153926.19,5.42,27461778.57,200.00%
Santa Cruz,Duplex,270,211,1,4,1,0,2014,8755030.38,5.85,26265091.14,200.00%
Mambugan,Duplex,276,126,1,5,2,0,2018,8783581.06,5.2,26350743.18,200.00%
Santa Cruz,Single-Family Home,365,204,3,3,4,0,2016,9157948.71,4.11,27473846.13,200.00%
Mayamot,Duplex,242,92,3,5,1,3,2015,5758732.72,5.87,17276198.16,200.00%
San Luis,Duplex,299,112,3,5,2,1,2022,9222972.33,2.91,27668916.99,200.00%
San Juan,Single-Family Home,250,110,2,2,1,0,2013,3293497.46,2.45,9880492.38,200.00%
Beverly Hills,Townhouse,167,81,1,5,2,3,2015,2484717.25,2.75,7454151.75,200.00%
Cupang,Single-Family Home,165,231,1,4,1,1,2016,4759848.76,2.95,14279546.28,200.00%
San Jose (Poblacion),Duplex,285,113,3,5,3,0,2022,9208706.94,4.08,27626120.82,200.00%
Bagong Nayon,Duplex,307,253,3,6,2,1,2022,6297959.57,2.83,18893878.71,200.00%
Mambugan,Townhouse,176,207,2,4,1,1,2016,9747931.66,5.09,29243794.98,200.00%
San Luis,Single-Family Home,277,211,3,2,2,3,2015,4742209.56,4.84,14226628.68,200.00%
Beverly Hills,Single-Family Home,375,218,2,6,4,1,2016,4991745.41,3.82,14975236.23,200.00%
San Juan,Bungalow,278,99,1,4,3,3,2022,9232605.91,4.81,27697817.73,200.00%
Cupang,Single-Family Home,325,156,3,3,3,3,2020,3841952.33,2.9,11525856.99,200.00%
Calawis,Duplex,151,83,3,4,3,2,2013,5830488.31,5.71,17491464.93,200.00%
San Juan,Townhouse,181,181,2,3,4,0,2022,9002767.98,3.32,27008303.94,200.00%
San Roque (Poblacion),Duplex,262,250,1,4,1,0,2020,7542535.86,5.46,22627607.58,200.00%
San Luis,Single-Family Home,308,112,1,4,1,0,2016,2620011.86,4.44,7860035.58,200.00%
Mambugan,Townhouse,215,146,3,4,2,3,2014,2706245.01,3.86,8118735.03,200.00%
San Isidro (Poblacion),Townhouse,393,202,2,2,4,1,2018,7932580.04,3.23,23797740.12,200.00%
Mambugan,Duplex,281,278,1,2,4,3,2018,5766629.12,3.66,17299887.36,200.00%
Mambugan,Townhouse,378,167,1,6,4,1,2019,9758972.63,3.54,29276917.89,200.00%
San Roque (Poblacion),Townhouse,383,193,3,2,4,1,2022,2649030.88,3.82,7947092.64,200.00%
Muntindilaw,Townhouse,377,107,1,4,3,0,2020,3679306.47,2.47,11037919.41,200.00%
Santa Cruz,Duplex,245,220,3,2,2,0,2021,9339393.92,5.14,28018181.76,200.00%
San Jose (Poblacion),Duplex,325,85,1,3,1,1,2013,6245243.65,4.13,18735730.95,200.00%
Dela Paz (Poblacion),Single-Family Home,291,165,1,6,1,0,2021,2934681.26,3.61,8804043.78,200.00%
Santa Cruz,Townhouse,395,199,1,3,3,3,2018,8049718,4.04,24149154,200.00%
Calawis,Townhouse,248,198,3,6,2,3,2022,9804934.47,4.78,29414803.41,200.00%
San Roque (Poblacion),Townhouse,321,120,1,2,4,1,2017,5318835.6,2.54,15956506.8,200.00%
Bagong Nayon,Single-Family Home,223,178,3,4,4,3,2022,5859410.71,2.62,17578232.13,200.00%
San Jose (Poblacion),Townhouse,268,94,2,6,1,1,2015,5267888.29,3.49,15803664.87,200.00%
Dalig,Townhouse,200,195,3,3,3,2,2014,2403984.78,5.76,7211954.34,200.00%
San Isidro (Poblacion),Townhouse,156,275,3,5,4,3,2021,2346482.64,5.91,7039447.92,200.00%
Beverly Hills,Townhouse,336,126,3,2,3,1,2019,8976596.99,3.03,26929790.97,200.00%
Inarawan,Bungalow,191,173,1,4,4,0,2015,2753110.57,3.11,8259331.71,200.00%
San Juan,Duplex,213,221,3,3,1,0,2015,4921533.87,4.83,14764601.61,200.00%
Dela Paz (Poblacion),Duplex,351,152,3,3,2,3,2022,8591294.74,4.5,25773884.22,200.00%
San Roque (Poblacion),Bungalow,169,204,1,5,2,1,2017,4987985.09,5.86,14963955.27,200.00%
Inarawan,Duplex,300,201,2,6,3,0,2013,5965675.49,2.8,17897026.47,200.00%
Inarawan,Duplex,263,160,3,6,3,2,2016,7075883.51,4.78,21227650.53,200.00%
Calawis,Bungalow,184,129,1,4,1,3,2020,2123718.65,2.91,6371155.95,200.00%
San Isidro (Poblacion),Duplex,226,154,2,3,4,0,2020,9175776.37,5.94,27527329.11,200.00%
Mayamot,Bungalow,330,119,1,5,2,2,2020,3691341.77,3.9,11074025.31,200.00%
Dalig,Duplex,348,95,1,3,4,2,2016,3958507.33,5.12,11875521.99,200.00%
San Roque (Poblacion),Duplex,229,101,2,4,1,2,2014,5411244.46,2.06,16233733.38,200.00%
Bagong Nayon,Townhouse,238,175,2,6,2,0,2015,2046496.73,5.52,6139490.19,200.00%
Mambugan,Single-Family Home,238,242,1,4,1,1,2016,7813163.31,4.84,23439489.93,200.00%
Inarawan,Duplex,378,261,3,4,2,0,2021,2669402.39,3.53,8008207.17,200.00%
Calawis,Townhouse,307,270,2,3,3,3,2021,4236628.61,4.23,12709885.83,200.00%
San Juan,Bungalow,156,275,1,6,4,3,2020,6843466.35,5.69,20530399.05,200.00%
Beverly Hills,Single-Family Home,379,144,1,2,1,0,2017,7841878.02,5.81,23525634.06,200.00%
Calawis,Single-Family Home,265,133,1,2,3,0,2019,3511449.9,4.05,10534349.7,200.00%
San Juan,Duplex,178,131,3,2,4,2,2020,3169208.06,2.21,9507624.18,200.00%
Beverly Hills,Single-Family Home,233,260,3,5,2,3,2021,4735565.99,5.99,14206697.97,200.00%
San Juan,Townhouse,165,234,2,4,3,2,2013,4039185.51,3.77,12117556.53,200.00%
San Roque (Poblacion),Townhouse,185,258,3,3,4,2,2015,2482507.01,4.65,7447521.03,200.00%
Santa Cruz,Townhouse,181,86,3,2,4,3,2018,4743331.36,4.72,14229994.08,200.00%
Beverly Hills,Townhouse,182,152,2,6,1,0,2013,8362905.52,2.08,25088716.56,200.00%
Bagong Nayon,Single-Family Home,224,150,3,6,4,2,2016,9241739.42,2.21,27725218.26,200.00%
San Luis,Townhouse,301,199,1,3,3,1,2018,4827986.59,5.21,14483959.77,200.00%
San Jose (Poblacion),Townhouse,261,194,2,5,3,3,2017,8475430.94,5.01,25426292.82,200.00%
San Isidro (Poblacion),Townhouse,193,163,2,2,1,0,2014,8606711.56,5.79,25820134.68,200.00%
San Roque (Poblacion),Single-Family Home,253,276,2,4,3,0,2021,2789835.38,2.26,8369506.14,200.00%
San Roque (Poblacion),Townhouse,218,260,2,2,2,3,2022,8970127.44,4.41,26910382.32,200.00%
San Luis,Single-Family Home,295,159,1,6,3,0,2017,9663731.85,4.83,28991195.55,200.00%
San Roque (Poblacion),Duplex,178,115,2,2,2,2,2017,4150078.51,3.08,12450235.53,200.00%
Santa Cruz,Bungalow,176,84,1,4,1,2,2019,3914670.12,5.07,11744010.36,200.00%
Santa Cruz,Single-Family Home,302,119,1,4,2,2,2018,2873231.07,3.14,8619693.21,200.00%
Beverly Hills,Bungalow,314,82,1,4,4,0,2017,3961322.29,4.65,11883966.87,200.00%
San Juan,Bungalow,227,267,1,5,1,3,2013,8098523.89,2.17,24295571.67,200.00%
Santa Cruz,Duplex,274,160,1,2,4,0,2021,4457917.4,5.92,13373752.2,200.00%
Mayamot,Bungalow,247,120,1,5,3,2,2015,7517829.17,5.32,22553487.51,200.00%
San Luis,Bungalow,380,235,1,3,3,0,2014,9797607.86,4.83,29392823.58,200.00%
San Isidro (Poblacion),Bungalow,208,199,1,4,2,0,2021,4384318.91,3.37,13152956.73,200.00%
Muntindilaw,Single-Family Home,283,176,3,4,3,1,2014,7129548.42,4.72,21388645.26,200.00%
Calawis,Townhouse,264,205,3,2,3,2,2017,3121821.63,2.84,9365464.89,200.00%
Dela Paz (Poblacion),Duplex,318,254,2,2,2,2,2015,5114294.23,5.74,15342882.69,200.00%
Dalig,Duplex,366,138,3,5,3,3,2021,5473897.79,3.65,16421693.37,200.00%
San Jose (Poblacion),Townhouse,184,190,2,4,1,1,2019,5220760.66,2.17,15662281.98,200.00%
Santa Cruz,Duplex,221,182,2,2,2,1,2018,7659965.66,4.69,22979896.98,200.00%
San Juan,Duplex,203,219,1,2,3,1,2016,7187122.29,4.38,21561366.87,200.00%
San Luis,Bungalow,211,139,1,3,2,1,2022,2317872.2,4.74,6953616.6,200.00%
Bagong Nayon,Single-Family Home,353,103,2,2,4,2,2015,8477200.12,5.29,25431600.36,200.00%
Calawis,Bungalow,286,119,1,5,2,2,2015,5346323.37,2.76,16038970.11,200.00%
Dela Paz (Poblacion),Townhouse,233,243,3,5,1,1,2021,4366026.05,4.2,13098078.15,200.00%
San Luis,Townhouse,196,227,3,6,2,2,2020,5044613.19,4.11,15133839.57,200.00%
Mambugan,Single-Family Home,151,128,2,4,1,1,2021,8909746.21,3.8,26729238.63,200.00%
Calawis,Townhouse,246,267,2,3,2,1,2019,6580254.43,4.15,19740763.29,200.00%
San Isidro (Poblacion),Townhouse,176,227,1,5,3,1,2021,9283603.81,5.28,27850811.43,200.00%
San Luis,Townhouse,231,189,1,4,3,2,2021,2810637.06,5.02,8431911.18,200.00%
Mambugan,Single-Family Home,264,138,1,4,4,1,2013,6733777.89,5.28,20201333.67,200.00%
Bagong Nayon,Duplex,261,161,2,3,4,3,2014,3297094.55,3.74,9891283.65,200.00%
San Isidro (Poblacion),Duplex,158,245,3,6,4,0,2020,8965446.21,4.49,26896338.63,200.00%
Calawis,Single-Family Home,330,138,1,4,4,2,2018,3786066.06,2.98,11358198.18,200.00%
Bagong Nayon,Bungalow,283,130,1,3,2,0,2016,6073552.96,2.27,18220658.88,200.00%
San Isidro (Poblacion),Townhouse,229,202,2,6,4,1,2017,7121180.3,4.3,21363540.9,200.00%
Cupang,Single-Family Home,398,239,1,5,4,1,2014,5568585.23,2.4,16705755.69,200.00%
Muntindilaw,Duplex,207,84,2,3,4,0,2013,2372517.99,4.14,7117553.97,200.00%
San Luis,Duplex,213,92,2,5,3,0,2014,5025684.95,3.96,15077054.85,200.00%
Mambugan,Townhouse,378,188,3,3,3,3,2018,5136119.25,5.17,15408357.75,200.00%
Muntindilaw,Townhouse,279,222,3,2,4,1,2015,5359756.39,2.11,16079269.17,200.00%
Muntindilaw,Townhouse,189,218,3,5,1,2,2018,2335048.77,3.41,7005146.31,200.00%
San Jose (Poblacion),Duplex,311,222,3,2,3,3,2015,5491143.12,5.38,16473429.36,200.00%
Dalig,Bungalow,273,112,1,2,4,3,2017,6777978.85,5.12,20333936.55,200.00%
Cupang,Townhouse,354,186,3,6,4,2,2022,9636058.44,2.22,28908175.32,200.00%
Mambugan,Single-Family Home,398,228,1,5,4,1,2019,4280566.01,2.37,12841698.03,200.00%
Dela Paz (Poblacion),Single-Family Home,312,271,3,2,1,2,2022,3696986.99,4.77,11090960.97,200.00%
Calawis,Duplex,165,224,1,4,3,3,2014,5316299.95,5.15,15948899.85,200.00%
Bagong Nayon,Single-Family Home,286,256,2,4,4,1,2015,2822526.69,3.28,8467580.07,200.00%
Cupang,Bungalow,343,210,1,2,2,1,2013,4460566.02,2.91,13381698.06,200.00%
San Juan,Bungalow,235,250,1,2,4,1,2021,2339903.33,5.88,7019709.99,200.00%
San Luis,Townhouse,208,101,3,5,3,1,2015,7677796.21,3.79,23033388.63,200.00%
Cupang,Bungalow,390,249,1,6,2,2,2021,3401114.08,5.83,10203342.24,200.00%
Bagong Nayon,Single-Family Home,311,177,1,6,2,0,2016,7039836.25,3.86,21119508.75,200.00%
Inarawan,Bungalow,265,187,1,6,4,3,2016,8644048.71,2.81,25932146.13,200.00%
Cupang,Single-Family Home,296,88,2,4,4,1,2020,7937724.97,4.74,23813174.91,200.00%
San Juan,Single-Family Home,304,87,3,5,3,3,2014,4486002.58,3.89,13458007.74,200.00%
San Juan,Bungalow,279,188,1,6,2,3,2020,5775927.63,5.21,17327782.89,200.00%
Inarawan,Townhouse,257,199,3,2,2,0,2018,3141831.81,3.29,9425495.43,200.00%
Muntindilaw,Bungalow,332,108,1,2,3,0,2018,5361614.73,5.13,16084844.19,200.00%
San Jose (Poblacion),Bungalow,277,217,1,4,1,2,2014,5595561.93,3.61,16786685.79,200.00%
San Roque (Poblacion),Bungalow,389,226,1,3,3,3,2013,5048239.53,4.35,15144718.59,200.00%
Dalig,Townhouse,231,141,2,5,3,2,2016,6899414.32,4.49,20698242.96,200.00%
Inarawan,Duplex,225,165,2,3,1,1,2018,5493484.35,2.85,16480453.05,200.00%
Cupang,Duplex,200,267,3,2,2,2,2019,2900188.99,4.3,8700566.97,200.00%
Mayamot,Townhouse,323,164,3,4,2,1,2021,5835091.35,3.96,17505274.05,200.00%
San Luis,Duplex,236,273,1,6,3,3,2018,8820046.87,5.02,26460140.61,200.00%
Bagong Nayon,Duplex,355,173,3,6,2,2,2016,2787972.62,5.39,8363917.86,200.00%
San Juan,Duplex,220,112,2,3,1,3,2015,2432452.25,3.49,7297356.75,200.00%
Bagong Nayon,Bungalow,385,134,1,6,4,2,2015,8553641.43,5.85,25660924.29,200.00%
San Roque (Poblacion),Duplex,165,235,3,6,2,1,2022,8742292.2,4.2,26226876.6,200.00%
San Roque (Poblacion),Townhouse,244,150,1,2,1,3,2015,4591828.19,4.36,13775484.57,200.00%
Inarawan,Duplex,267,91,3,6,3,2,2017,2650467.47,2.58,7951402.41,200.00%
Mayamot,Bungalow,339,100,1,3,1,3,2013,3133814.05,4.28,9401442.15,200.00%
Muntindilaw,Bungalow,302,88,1,2,2,1,2017,3900644.33,3.56,11701932.99,200.00%
Beverly Hills,Single-Family Home,366,115,1,2,4,2,2018,8432854.47,3.76,25298563.41,200.00%
San Juan,Single-Family Home,221,174,2,5,2,0,2021,2435430.29,4.19,7306290.87,200.00%
Bagong Nayon,Bungalow,207,139,1,6,1,2,2022,7750014.63,2.47,23250043.89,200.00%
Calawis,Duplex,158,120,3,5,2,1,2015,2485653.04,5.82,7456959.12,200.00%
San Isidro (Poblacion),Bungalow,165,134,1,4,4,1,2013,5157717.02,3.04,15473151.06,200.00%
San Roque (Poblacion),Duplex,341,249,2,2,4,1,2021,2422255.74,3.19,7266767.22,200.00%
Santa Cruz,Townhouse,150,228,2,6,1,3,2021,3147258.47,5.95,9441775.41,200.00%
San Luis,Townhouse,316,122,2,2,2,1,2014,9356386.98,4.03,28069160.94,200.00%
San Jose (Poblacion),Bungalow,317,120,1,6,2,2,2022,9958032.19,2.2,29874096.57,200.00%
Calawis,Single-Family Home,186,135,2,3,4,0,2019,7659558.2,2.85,22978674.6,200.00%
Mayamot,Bungalow,229,271,1,2,1,0,2013,6881793.66,5.54,20645380.98,200.00%
Santa Cruz,Bungalow,313,250,1,2,1,3,2014,2046900.73,2.86,6140702.19,200.00%
San Roque (Poblacion),Duplex,215,109,3,4,3,1,2014,5464827.2,4.97,16394481.6,200.00%
Dela Paz (Poblacion),Duplex,377,201,3,4,2,3,2013,5230595.11,2.19,15691785.33,200.00%
Muntindilaw,Single-Family Home,239,148,1,2,3,1,2019,4581534.39,2.6,13744603.17,200.00%
Dela Paz (Poblacion),Duplex,360,234,1,6,3,2,2021,7732688.34,2.46,23198065.02,200.00%
San Luis,Single-Family Home,330,236,3,6,3,0,2022,6095851.96,4.45,18287555.88,200.00%
Mayamot,Single-Family Home,238,135,3,3,2,2,2019,4384369.8,4.51,13153109.4,200.00%
Beverly Hills,Duplex,276,112,2,4,4,1,2015,9083826.29,4.21,27251478.87,200.00%
Dalig,Single-Family Home,397,173,2,6,3,2,2021,4115152.26,4.97,12345456.78,200.00%
Cupang,Single-Family Home,306,273,3,2,4,1,2014,9272347.62,4.62,27817042.86,200.00%
Dela Paz (Poblacion),Townhouse,176,122,1,3,2,3,2021,8402517.77,2.74,25207553.31,200.00%
Bagong Nayon,Townhouse,286,277,3,3,1,0,2016,7853088.41,2.93,23559265.23,200.00%
Dela Paz (Poblacion),Duplex,178,94,2,6,4,1,2022,9763255.29,4.79,29289765.87,200.00%
Beverly Hills,Townhouse,334,184,1,2,4,0,2013,6061530.53,2.05,18184591.59,200.00%
Dalig,Townhouse,173,261,1,4,1,0,2021,7297848.42,2.99,21893545.26,200.00%
